Epoch,Train Loss,Train MSE Dev,Train MSE Hk,Train PCC Dev,Train PCC Hk,Train SCC Dev,Train SCC Hk,Val Loss,Val MSE Dev,Val MSE Hk,Val PCC Dev,Val PCC Hk,Val SCC Dev,Val SCC Hk
1,3.4080496264459827,1.7190490177282285,1.6890006089642895,0.5056404,0.6032367,0.4879442677429854,0.4495885504289848,3.823125743715545,2.2652535758183956,1.5578721521028585,0.57827306,0.68715996,0.557594889089034,0.5386614701830177
2,2.9137428235446348,1.4801054077849356,1.433637417997481,0.6026809,0.68364215,0.574132515433549,0.5171702312485612,3.022051602131937,1.5690785723529779,1.4529730356078043,0.63062876,0.709351,0.6009667232477416,0.5521288184165448
3,2.7561642626384018,1.3932031597296144,1.3629611023208954,0.6329555,0.70218027,0.5995272117248469,0.5364597572611088,2.8056939445459506,1.4311695918675853,1.3745243585072104,0.64350855,0.71732605,0.6136230074520319,0.575725992984643
4,2.651124728207675,1.3403884886633315,1.3107362392409152,0.6507823,0.7157953,0.6140071081110625,0.5487976891268223,2.8694307871797484,1.4045932973596953,1.464837487563726,0.6457967,0.7262518,0.6111173283882495,0.555899224322349
5,2.5855447505258504,1.3078433728468406,1.2777013791392573,0.6614352,0.72342116,0.6229999551198541,0.5561348232130827,2.652969811617012,1.3301834851409358,1.3227863321168942,0.6557269,0.72926843,0.6234847853220409,0.5768195692985199
6,2.524670591029702,1.2767112346883416,1.2479593569482166,0.6714746,0.7310582,0.6309085898685082,0.5637408566930593,2.89914326036014,1.4379044506076006,1.4612388090004305,0.64759356,0.7145327,0.6169369502474603,0.5738980278363982
7,2.4804026483161943,1.2553917441328657,1.2250109028937595,0.6785486,0.7365933,0.6363582024018088,0.5690798265118526,2.7713518823358916,1.3972356898551483,1.3741161885321704,0.65336496,0.7233051,0.619491012812287,0.5713655975476435
8,2.4357000465723804,1.231429583625053,1.2042704636490045,0.6860009,0.74158496,0.6419380666124247,0.5736073802444703,2.6134418685353515,1.2928882370987902,1.3205536224112526,0.661196,0.72766846,0.625362882248198,0.5718380289805752
9,2.4077517656698904,1.2152773412291198,1.1924744237770217,0.6911759,0.74412286,0.6461154876393799,0.5769456390987387,2.5892854323522525,1.2884354792558808,1.3008499544125627,0.66272765,0.7324764,0.6290349312758549,0.578667089766799
10,2.37706610862897,1.204321242141147,1.1727448679670345,0.69477075,0.7500679,0.6488955120165687,0.5809470063210608,2.67051188426815,1.3277496744405584,1.3427622124599734,0.6505642,0.72851044,0.6175417862040324,0.5638716959449872
11,2.354778939017133,1.191554778061435,1.1632241590403085,0.69835705,0.75251853,0.6520017174350191,0.583640935959059,2.8577535017055666,1.3835321975055177,1.4742213070204582,0.63454795,0.72151124,0.6048330678969267,0.5471783117198928
12,2.329225689940797,1.1801899847732469,1.1490357056606206,0.7018687,0.7555768,0.6543952268797905,0.5868167538267534,2.6336025668995613,1.3176386382677578,1.3159639259994218,0.66384476,0.731428,0.6285062921832208,0.5793818500516703
13,2.310679273964909,1.1697418128765202,1.1409374620176371,0.705168,0.75749123,0.6577314947800589,0.5889373493752702,2.627448304218449,1.3113449663393881,1.316103345776206,0.66146076,0.72921443,0.6286111252289602,0.582518180647006
14,2.2900126916073402,1.1592789470978766,1.1307337453438908,0.7084941,0.76020604,0.6594294690073714,0.5917714204945695,2.6614787134838407,1.319307356602762,1.3421713640261148,0.66232485,0.7291526,0.6275011098388997,0.5767244978996794
15,2.27713369261183,1.1539534379485454,1.1231802539236788,0.71034706,0.76181173,0.6619015897316859,0.5936831298487973,2.675446607337013,1.3311102424134216,1.3443363649235915,0.6573072,0.72754216,0.6248796200702551,0.5779365274889702
16,2.2623369560247766,1.1466687873143357,1.115668169905189,0.71251947,0.7636919,0.6639933696332461,0.5967558555660158,2.616520628192071,1.310126096292249,1.3063945253188678,0.65794986,0.73335993,0.6222954132967807,0.5751110173484578
17,2.2449750373820914,1.137607758397173,1.1073672798193452,0.7150668,0.7658082,0.6650428894529342,0.5978770378383652,2.6788119487581943,1.3295727332683769,1.3492392075926725,0.6575543,0.7282208,0.6239511455416077,0.5804393937983754
18,2.231684315519427,1.1300845875354697,1.1015997266564594,0.71725106,0.76701325,0.667128130475425,0.5997804349700337,2.6300142717662296,1.3103445234358875,1.3196697534070783,0.65763676,0.72941905,0.6233942061631412,0.5715826884769231
19,2.222700695418037,1.126564613808654,1.0961360815904189,0.7182496,0.76848394,0.6680715383830799,0.6012811919933665,2.6752559036862587,1.3574152788153206,1.3178406280674018,0.65368575,0.73009974,0.619830251326918,0.5772749075759959
